2021-03-19 07:59:00,390 | train | INFO | Epoch 4, Train, Mean loss: 0.3490426540446754, Accuracy: 0.9048155902721855
2021-03-19 07:59:03,373 | train | INFO | Epoch 4, Validation, Mean loss: 0.34216488975545634, Accuracy: 0.8898550724637682
2021-03-19 07:59:03,387 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:03,387 | train | INFO | Early stopper, Validation loss decreased 0.3946575766024382 -> 0.34216488975545634
2021-03-19 07:59:11,531 | train | INFO | Epoch 5, Train, Mean loss: 0.3057883878004956, Accuracy: 0.9133515864068288
2021-03-19 07:59:14,493 | train | INFO | Epoch 5, Validation, Mean loss: 0.3038646753431986, Accuracy: 0.9043478260869565
2021-03-19 07:59:14,512 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:14,513 | train | INFO | Early stopper, Validation loss decreased 0.34216488975545634 -> 0.3038646753431986
2021-03-19 07:59:22,856 | train | INFO | Epoch 6, Train, Mean loss: 0.2712478577367089, Accuracy: 0.9220486390723144
2021-03-19 07:59:25,789 | train | INFO | Epoch 6, Validation, Mean loss: 0.29839744878581903, Accuracy: 0.9159420289855073
2021-03-19 07:59:25,805 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:25,805 | train | INFO | Early stopper, Validation loss decreased 0.3038646753431986 -> 0.29839744878581903
2021-03-19 07:59:33,944 | train | INFO | Epoch 7, Train, Mean loss: 0.24628106987274515, Accuracy: 0.9320341439845385
2021-03-19 07:59:37,080 | train | INFO | Epoch 7, Validation, Mean loss: 0.2714650069822328, Accuracy: 0.9130434782608695
2021-03-19 07:59:37,098 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:37,098 | train | INFO | Early stopper, Validation loss decreased 0.29839744878581903 -> 0.2714650069822328
2021-03-19 07:59:45,453 | train | INFO | Epoch 8, Train, Mean loss: 0.22267067495941695, Accuracy: 0.9383153486873893
2021-03-19 07:59:48,334 | train | INFO | Epoch 8, Validation, Mean loss: 0.26236872522133414, Accuracy: 0.9246376811594202
2021-03-19 07:59:48,345 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:48,345 | train | INFO | Early stopper, Validation loss decreased 0.2714650069822328 -> 0.26236872522133414
2021-03-19 07:59:56,458 | train | INFO | Epoch 9, Train, Mean loss: 0.20463146158564705, Accuracy: 0.9412143662425512
2021-03-19 07:59:59,462 | train | INFO | Epoch 9, Validation, Mean loss: 0.2604060694683289, Accuracy: 0.9217391304347826
2021-03-19 07:59:59,474 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:59:59,475 | train | INFO | Early stopper, Validation loss decreased 0.26236872522133414 -> 0.2604060694683289
2021-03-19 08:59:48,084 | train | INFO | Epoch 0, Train, Mean loss: 1.8217369370998862, Accuracy: 0.4250281848928974
2021-03-19 08:59:51,060 | train | INFO | Epoch 0, Validation, Mean loss: 1.2373388725778331, Accuracy: 0.6811594202898551
2021-03-19 08:59:51,078 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 08:59:59,461 | train | INFO | Epoch 1, Train, Mean loss: 0.881684609226682, Accuracy: 0.769528104364632
2021-03-19 09:00:02,571 | train | INFO | Epoch 1, Validation, Mean loss: 0.6255366944748423, Accuracy: 0.8115942028985508
2021-03-19 09:00:02,585 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:00:02,585 | train | INFO | Early stopper, Validation loss decreased 1.2373388725778331 -> 0.6255366944748423
2021-03-19 09:00:10,807 | train | INFO | Epoch 2, Train, Mean loss: 0.5448999774016358, Accuracy: 0.8540827830568529
2021-03-19 09:00:13,805 | train | INFO | Epoch 2, Validation, Mean loss: 0.4641517475463342, Accuracy: 0.863768115942029
2021-03-19 09:00:13,830 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:00:13,830 | train | INFO | Early stopper, Validation loss decreased 0.6255366944748423 -> 0.4641517475463342
2021-03-19 09:00:22,291 | train | INFO | Epoch 3, Train, Mean loss: 0.4187855436662378, Accuracy: 0.8875825414720567
2021-03-19 09:00:25,206 | train | INFO | Epoch 3, Validation, Mean loss: 0.3946575766024382, Accuracy: 0.881159420289855
2021-03-19 09:00:25,220 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:00:25,220 | train | INFO | Early stopper, Validation loss decreased 0.4641517475463342 -> 0.3946575766024382
2021-03-19 09:00:33,592 | train | INFO | Epoch 4, Train, Mean loss: 0.3490426540446754, Accuracy: 0.9048155902721855
2021-03-19 09:00:36,647 | train | INFO | Epoch 4, Validation, Mean loss: 0.34216488975545634, Accuracy: 0.8898550724637682
2021-03-19 09:00:36,663 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:00:36,663 | train | INFO | Early stopper, Validation loss decreased 0.3946575766024382 -> 0.34216488975545634
2021-03-19 09:00:45,843 | train | INFO | Epoch 5, Train, Mean loss: 0.3057883878004956, Accuracy: 0.9133515864068288
2021-03-19 09:00:48,951 | train | INFO | Epoch 5, Validation, Mean loss: 0.3038646753431986, Accuracy: 0.9043478260869565
2021-03-19 09:00:48,971 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:00:48,972 | train | INFO | Early stopper, Validation loss decreased 0.34216488975545634 -> 0.3038646753431986
2021-03-19 09:00:57,537 | train | INFO | Epoch 6, Train, Mean loss: 0.2712478577367089, Accuracy: 0.9220486390723144
2021-03-19 09:01:00,485 | train | INFO | Epoch 6, Validation, Mean loss: 0.29839744878581903, Accuracy: 0.9159420289855073
2021-03-19 09:01:00,501 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:01:00,502 | train | INFO | Early stopper, Validation loss decreased 0.3038646753431986 -> 0.29839744878581903
2021-03-19 09:01:09,047 | train | INFO | Epoch 7, Train, Mean loss: 0.24628106987274515, Accuracy: 0.9320341439845385
2021-03-19 09:01:12,010 | train | INFO | Epoch 7, Validation, Mean loss: 0.2714650069822328, Accuracy: 0.9130434782608695
2021-03-19 09:01:12,024 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:01:12,024 | train | INFO | Early stopper, Validation loss decreased 0.29839744878581903 -> 0.2714650069822328
2021-03-19 09:01:20,389 | train | INFO | Epoch 8, Train, Mean loss: 0.22267067495941695, Accuracy: 0.9383153486873893
2021-03-19 09:01:23,331 | train | INFO | Epoch 8, Validation, Mean loss: 0.26236872522133414, Accuracy: 0.9246376811594202
2021-03-19 09:01:23,349 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:01:23,350 | train | INFO | Early stopper, Validation loss decreased 0.2714650069822328 -> 0.26236872522133414
2021-03-19 09:01:31,535 | train | INFO | Epoch 9, Train, Mean loss: 0.20463146158564705, Accuracy: 0.9412143662425512
2021-03-19 09:01:34,494 | train | INFO | Epoch 9, Validation, Mean loss: 0.2604060694683289, Accuracy: 0.9217391304347826
2021-03-19 09:01:34,513 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/train/DNN_20210319_085929/model.pth
2021-03-19 09:01:34,514 | train | INFO | Early stopper, Validation loss decreased 0.26236872522133414 -> 0.2604060694683289
